speed bound_cls bound_mts
9.300056458897927592e-02 3.013950617283950351e+02 3.165061728395061778e+02
6.241164182475160416e-02 3.072716049382715937e+02 3.252345679012345840e+02
9.548328816621477061e-03 3.218518518518518476e+02 3.191111111111110858e+02
9.823532068654021454e-02 7.725925925925925242e+01 7.149382716049382225e+01
8.727873757904250351e-02 7.000000000000000000e+01 7.116049382716049365e+01
4.101259033423670236e-02 7.572839506172839208e+01 6.817283950617283494e+01
9.751953477868116615e-02 1.755555555555555429e+02 1.763950617283950635e+02
8.310552168021680119e-02 1.723950617283950635e+02 1.730740740740740762e+02
3.449627371273712023e-02 1.757037037037036953e+02 1.724691358024691397e+02
9.293546747967480759e-02 3.102716049382715937e+02 3.235555555555555429e+02
6.477015582655824832e-02 2.913580246913580254e+02 3.119629629629629903e+02
1.260563459801263345e-02 3.025802469135802539e+02 3.005432098765431874e+02
9.789267163504969393e-02 1.425679012345678984e+02 1.445679012345678984e+02
8.423306233062331783e-02 1.343950617283950635e+02 1.321234567901234698e+02
3.769884823848240057e-02 1.430617283950617207e+02 1.394444444444444571e+02
9.788459801264684512e-02 9.000000000000000000e+00 9.000000000000000000e+00
8.903235094850950326e-02 8.000000000000000000e+00 8.641975308641974607e+00
4.894427506775068937e-02 8.000000000000000000e+00 9.000000000000000000e+00
9.820850271002713738e-02 1.316913580246913682e+02 1.399876543209876445e+02
8.489233288166214697e-02 1.327901234567901270e+02 1.321604938271605079e+02
3.713567073170732924e-02 1.307283950617284063e+02 1.206913580246913540e+02
9.828669828364951233e-02 7.249382716049382225e+01 6.900000000000000000e+01
8.762059620596207576e-02 7.265432098765431590e+01 7.507407407407407618e+01
4.021189024390244005e-02 7.161728395061727781e+01 6.409876543209875877e+01
9.788386404697384247e-02 8.950617283950617065e+00 9.000000000000000000e+00
8.554234417344180885e-02 8.975308641975308532e+00 7.308641975308641570e+00
4.592084462511296372e-02 9.000000000000000000e+00 9.000000000000000000e+00
9.824350722673898251e-02 5.904938271604937938e+01 5.423456790123456983e+01
8.663888888888889028e-02 5.804938271604937938e+01 5.600000000000000000e+01
4.524367660343274478e-02 5.480246913580246826e+01 5.514814814814814525e+01
9.783954381210475948e-02 1.300987654320987588e+02 1.221358024691357969e+02
8.500214543812109613e-02 1.257530864197530889e+02 1.234567901234567842e+02
3.911212737127375827e-02 1.308395061728394921e+02 1.283827160493827080e+02
9.822735998193318774e-02 6.933333333333332860e+01 6.397530864197531031e+01
8.679821589882569244e-02 7.000000000000000000e+01 6.619753086419753174e+01
4.220929313459800131e-02 6.900000000000000000e+01 6.400000000000000000e+01
9.731396793134598766e-02 1.991604938271605079e+02 2.018148148148148096e+02
8.138747741644077049e-02 1.931851851851851904e+02 1.897407407407407334e+02
3.085834462511292953e-02 1.922592592592592666e+02 1.799506172839506064e+02
9.769879177958454286e-02 1.534444444444444571e+02 1.446049382716049365e+02
8.431250000000001243e-02 1.547037037037036953e+02 1.577160493827160508e+02
3.731854110207768332e-02 1.521851851851851904e+02 1.489382716049382793e+02
9.352783423667568319e-02 2.992222222222222285e+02 3.015061728395061778e+02
6.467219963866309429e-02 2.977407407407407618e+02 3.023086419753086602e+02
1.576112240289073013e-02 2.958395061728394921e+02 3.004074074074073906e+02
9.368507226738936877e-02 2.941111111111110858e+02 2.997777777777777715e+02
6.542282068654019234e-02 2.931111111111110858e+02 3.047283950617284063e+02
1.499678184281842859e-02 3.027901234567901270e+02 3.069506172839506348e+02
9.753669828364952554e-02 1.834567901234567842e+02 1.890000000000000000e+02
8.223509485094851468e-02 1.833827160493827080e+02 1.840000000000000000e+02
3.588075880758805764e-02 1.814691358024691397e+02 1.891111111111111143e+02
9.048227190605241665e-02 3.233703703703703809e+02 3.297037037037036953e+02
5.758734191508585454e-02 3.141111111111110858e+02 3.294691358024691112e+02
9.733514001806688881e-03 3.140864197530864317e+02 3.245432098765431874e+02
9.703726287262873229e-02 2.041604938271605079e+02 2.067654320987654444e+02
8.023306233062330040e-02 2.049012345679012412e+02 2.010123456790123555e+02
3.077529358626917774e-02 2.077407407407407334e+02 2.026543209876543301e+02
9.694365401987352360e-02 5.000000000000000000e+00 4.000000000000000000e+00
8.784914182475159206e-02 5.000000000000000000e+00 5.000000000000000000e+00
4.814001806684735374e-02 4.790123456790123413e+00 5.000000000000000000e+00
9.124853206865407573e-02 3.062962962962963047e+02 3.042592592592592382e+02
6.163719512195126732e-02 3.088765432098765586e+02 3.190493827160493652e+02
1.120155826558262742e-02 3.124814814814814667e+02 3.019506172839506348e+02
9.764797877145441063e-02 1.783209876543209873e+02 1.827037037037036953e+02
8.176157407407409761e-02 1.833456790123456699e+02 1.745679012345678984e+02
3.368337850045167309e-02 1.764567901234567842e+02 1.711604938271605079e+02
9.047549683830174994e-02 3.170493827160493652e+02 3.390740740740740762e+02
5.898549006323398902e-02 3.149259259259259238e+02 3.285802469135802539e+02
8.639453477868111464e-03 3.234691358024691112e+02 3.327777777777777715e+02
9.567090108401082871e-02 2.503209876543209873e+02 2.500740740740740762e+02
7.581148373983742639e-02 2.515432098765432158e+02 2.535679012345678984e+02
2.304432023486900627e-02 2.547901234567901270e+02 2.500000000000000000e+02
9.708152664859982794e-02 2.090864197530864317e+02 2.120740740740740762e+02
7.815475383920508778e-02 2.014938271604938222e+02 1.925802469135802539e+02
2.960111788617889386e-02 2.115432098765432158e+02 2.019629629629629619e+02
9.739363143631439568e-02 1.904567901234567842e+02 1.897901234567901270e+02
8.201755871725389946e-02 1.883209876543209873e+02 1.848765432098765302e+02
3.272939250225836288e-02 1.898395061728394921e+02 1.866543209876543301e+02
9.833700316169831368e-02 2.900000000000000000e+01 2.800000000000000000e+01
8.784496386630534503e-02 2.729629629629629761e+01 2.746913580246913611e+01
4.264967253839203887e-02 2.702469135802468969e+01 2.413580246913580396e+01
9.583835817524842537e-02 2.528765432098765302e+02 2.519012345679012412e+02
7.517496612466127714e-02 2.503950617283950635e+02 2.506913580246913682e+02
2.234614950316171980e-02 2.555679012345678984e+02 2.548148148148148096e+02
9.797583559168926426e-02 1.336543209876543301e+02 1.354691358024691397e+02
8.569280713640468894e-02 1.287407407407407334e+02 1.329259259259259238e+02
3.951513098464324442e-02 1.300246913580246826e+02 1.340000000000000000e+02
9.820895438121048093e-02 1.080864197530864175e+02 1.098024691358024683e+02
8.568574977416439087e-02 1.062469135802469111e+02 1.042345679012345698e+02
4.069100045167115681e-02 1.134320987654321016e+02 1.136790123456790127e+02
9.819568654019872334e-02 1.159135802469135825e+02 1.200000000000000000e+02
8.535828816621501836e-02 1.156419753086419746e+02 1.105308641975308603e+02
4.098119918699187625e-02 1.146790123456790127e+02 1.157037037037037095e+02
8.836077235772359095e-02 3.309876543209876445e+02 3.330000000000000000e+02
5.747583559168929074e-02 3.158888888888889142e+02 3.266543209876543301e+02
9.024672538392028084e-03 3.260864197530864317e+02 3.300617283950617207e+02
9.702122854561882892e-02 1.881851851851851904e+02 1.750123456790123555e+02
8.219952574525742073e-02 1.875802469135802539e+02 1.873580246913580254e+02
3.402297877145440963e-02 1.845308641975308603e+02 1.840493827160493936e+02
9.817056233062335102e-02 1.080246913580246968e+02 1.049753086419753032e+02
8.664385727190609954e-02 1.043209876543209873e+02 1.079012345679012412e+02
4.009366531165316216e-02 1.080000000000000000e+02 1.031111111111111143e+02
9.743891147244808371e-02 1.906790123456790127e+02 1.957901234567901270e+02
8.177924570912377400e-02 1.894444444444444571e+02 1.878888888888888857e+02
3.236545844625111912e-02 1.945679012345678984e+02 1.884814814814814952e+02
9.831537940379408980e-02 6.051851851851851904e+01 5.885185185185185475e+01
8.885834462511295329e-02 5.403703703703703809e+01 5.995061728395062062e+01
4.426575203252030438e-02 6.027160493827160792e+01 6.100000000000000000e+01
9.741819105691061631e-02 1.903827160493827080e+02 1.938395061728394921e+02
8.171657633243002705e-02 1.889753086419753174e+02 1.863456790123456699e+02
3.327518066847338224e-02 1.978024691358024825e+02 1.952098765432098730e+02
9.732012195121951537e-02 2.050246913580246826e+02 2.103456790123456699e+02
8.080363595302626767e-02 2.082345679012345556e+02 2.058395061728394921e+02
3.244800135501352267e-02 2.015185185185185048e+02 2.035308641975308603e+02
9.826863143631439645e-02 1.320987654320987659e+01 1.400000000000000000e+01
8.811963640469737402e-02 1.304938271604938294e+01 1.266666666666666607e+01
4.493078139114724256e-02 1.239506172839506171e+01 1.141975308641975317e+01
9.847380307136407995e-02 5.149382716049382935e+01 5.045679012345679126e+01
8.684078590785909713e-02 5.025925925925925952e+01 4.639506172839506348e+01
4.235868337850048210e-02 5.075308641975308888e+01 4.711111111111111427e+01
9.531470189701900242e-02 2.580617283950617207e+02 2.577037037037036953e+02
7.566214995483294681e-02 2.537654320987654444e+02 2.508641975308642031e+02
2.262110433604335932e-02 2.512098765432098730e+02 2.429259259259259238e+02
9.046719738030715996e-02 3.258395061728394921e+02 3.435432098765431874e+02
5.722357723577241317e-02 3.185432098765431874e+02 3.416666666666666856e+02
1.030747515808491492e-02 3.178395061728394921e+02 3.324567901234568126e+02
9.102563233965671463e-02 3.171975308641975175e+02 3.458395061728394921e+02
6.231300813008128908e-02 3.076790123456789843e+02 3.473209876543210157e+02
1.132763098464318816e-02 3.130617283950617207e+02 3.538641975308642031e+02
9.297611788617886341e-02 3.121604938271605079e+02 3.568765432098765586e+02
5.410348915989163232e-02 3.227530864197530605e+02 3.464567901234568126e+02
7.130476513098445851e-03 3.336666666666666856e+02 3.472469135802469395e+02
9.836856368563692832e-02 4.100000000000000000e+01 3.871604938271605079e+01
8.796578590785912588e-02 3.700000000000000000e+01 3.735802469135802539e+01
4.578833559168929423e-02 3.913580246913580396e+01 3.972839506172839208e+01
9.799706413730802090e-02 1.208765432098765444e+02 1.155555555555555571e+02
8.553754516711835343e-02 1.159135802469135825e+02 1.180000000000000000e+02
3.998938572719061557e-02 1.186296296296296333e+02 1.153580246913580254e+02
9.732503387533875117e-02 1.848271604938271651e+02 1.824320987654321016e+02
8.179640921409217502e-02 1.817654320987654444e+02 1.754814814814814952e+02
3.284039069557365131e-02 1.922469135802469111e+02 1.818765432098765302e+02
9.829804652213186555e-02 8.164197530864197461e+01 7.851851851851851904e+01
8.730160343270097767e-02 7.807407407407407618e+01 8.090123456790124123e+01
4.402122854561878879e-02 7.700000000000000000e+01 7.856790123456789843e+01
9.800508130081303504e-02 1.182469135802469111e+02 1.167530864197530889e+02
8.600908988256554533e-02 1.152222222222222285e+02 1.168395061728395063e+02
3.986557136404696167e-02 1.186296296296296333e+02 1.151975308641975317e+02
9.841068202348694782e-02 6.469135802469135399e+01 6.400000000000000000e+01
8.804065040650403684e-02 6.201234567901234840e+01 6.600000000000000000e+01
4.279782068654020694e-02 6.337037037037037379e+01 6.161728395061728492e+01
