speed speed2
3.821782178218027272e-03 4.927731092436956825e-03
5.186598659865791078e-03 2.640416166466231455e-03
8.907970797079738448e-03 3.308843537414869231e-03
6.953095309531112829e-03 1.390476190476121025e-02
1.491829182918319235e-03 -2.964385754301896922e-03
8.640744074407681954e-03 4.678351340536195460e-03
2.081928192819305044e-03 3.289635854341777833e-03
-9.582558255821845179e-04 -3.598239295719041306e-03
-1.404100410040744120e-03 3.489395758307870118e-04
7.943994399440017966e-04 -2.007523009204174088e-03
3.655765576557992377e-03 -6.479391756708926999e-04
2.439003900390210224e-03 1.547819127650730455e-03
7.007500750073907990e-04 2.529331732692685717e-03
1.995879587958512055e-03 1.144137655061019465e-03
6.936693669358258831e-05 2.721088435364429708e-04
9.216921692168192652e-04 -9.603841536652346156e-05
3.234443444344517818e-03 6.221048419367387027e-03
3.960476047605063221e-03 1.710444177670751359e-03
5.783298329832941426e-03 -3.459623849539785086e-03
3.767336733673646611e-03 1.943497398959075822e-03
3.708410841084172453e-03 -5.135814325730503165e-03
6.098409840984078331e-03 1.696806722689050625e-02
5.436543654368884010e-04 4.222488995592351118e-04
7.182638263826524733e-03 4.015046018407062746e-03
-5.255325532553206756e-04 -1.185114045618431908e-03
1.824462446244822780e-03 3.268507402951148174e-04
4.040263626362634169e-02 5.210468187274912982e-02
1.103190319031934321e-03 2.080512204882040660e-03
-7.997199719971806106e-04 5.528611444573712811e-04
1.445304530453144420e-03 -1.275710284114203730e-03
-6.006600660068230936e-04 -1.949579831936882452e-04
1.032703270326725247e-03 2.810404161664397001e-03
-2.078207820780996818e-04 -2.116046418574156626e-04
1.697369736973744676e-04 -6.076030412170230297e-04
1.505310531053107546e-02 1.365858343337322638e-02
5.974197419741908432e-03 8.372308923569236894e-03
-7.419541954204950714e-04 -1.152460984412887890e-05
2.098209820982014327e-03 3.207683073229540723e-03
1.207279927992795619e-02 2.126892356942772580e-02
-2.200980098009616866e-03 4.008003201277787622e-04
2.753202120212022361e-02 1.719452581032403921e-02
4.250345034503539773e-03 1.254261704681364263e-03
2.684899289928999178e-02 8.681072428971385938e-03
6.832431243124373853e-03 -4.978727490996558147e-03
3.992399239946804686e-05 9.283713484709550122e-06
-4.996499649962815722e-04 -1.717166866747582999e-03
6.148614861481577210e-04 3.119967987194136299e-03
-1.287328732873268275e-03 2.831212484993358026e-03
2.264626462646489313e-03 1.232813125249443116e-03
3.736813681368083336e-03 1.368227290916238653e-03
1.733573357335934035e-03 -4.696278511404783883e-03
1.467386738673897868e-03 -1.018647458983828720e-03
7.924512451245098454e-03 6.223609443777592537e-03
8.837283728373233720e-04 7.695878351339537071e-04
2.597459745975737332e-04 2.728771508602796658e-03
1.091817181718171374e-02 1.185210084033599953e-02
2.101810181018109319e-02 3.259991996798709130e-02
1.845083708370836434e-02 -5.744377751100833386e-04
