cl_diff|stiffness|viscosity|cl_number|time_step|nb_steps|nb_frames|occup|overlap_length
0.032|150|0.01|337|1e-05|1500000|100|0.35|7.71154976214
0.032|150|0.01|410|1e-05|1500000|100|0.35|9.3759472001
0.032|150|0.01|256|1e-05|1500000|100|0.35|5.85900678812
0.032|150|0.01|213|1e-05|1500000|100|0.35|4.86965504891
0.032|150|0.01|239|1e-05|1500000|100|0.35|5.48042383552
0.032|150|0.01|208|1e-05|1500000|100|0.35|4.76597710166
0.032|150|0.01|232|1e-05|1500000|100|0.35|5.30304300974
0.032|150|0.01|484|1e-05|1500000|100|0.35|11.0789491917
0.032|150|0.01|508|1e-05|1500000|100|0.35|11.630815266
0.032|150|0.01|383|1e-05|1500000|100|0.35|8.77665810993
0.032|150|0.01|370|1e-05|1500000|100|0.35|8.47531869246
0.032|150|0.01|382|1e-05|1500000|100|0.35|8.7315283286
0.032|150|0.01|570|1e-05|1500000|100|0.35|13.0431405473
0.032|150|0.01|460|1e-05|1500000|100|0.35|10.5332965335
0.032|150|0.01|524|1e-05|1500000|100|0.35|11.9882224849
0.032|150|0.01|501|1e-05|1500000|100|0.35|11.4584324319
0.032|150|0.01|217|1e-05|1500000|100|0.35|4.96280570253
0.032|150|0.01|409|1e-05|1500000|100|0.35|9.3556734589
0.032|150|0.01|172|1e-05|1500000|100|0.35|3.95086692112
0.032|150|0.01|296|1e-05|1500000|100|0.35|6.77300034779
0.032|150|0.01|102|1e-05|1500000|100|0.35|2.33881639935
0.032|150|0.01|173|1e-05|1500000|100|0.35|3.9678706312
0.032|150|0.01|634|1e-05|1500000|100|0.35|14.507824395
0.032|150|0.01|159|1e-05|1500000|100|0.35|3.65684306472
0.032|150|0.01|628|1e-05|1500000|100|0.35|14.3705681039
0.032|150|0.01|423|1e-05|1500000|100|0.35|9.66910282448
0.032|150|0.01|31|1e-05|1500000|100|0.35|0.716521458641
0.032|150|0.01|253|1e-05|1500000|100|0.35|5.800973593
0.032|150|0.01|281|1e-05|1500000|100|0.35|6.42525205657
0.032|150|0.01|334|1e-05|1500000|100|0.35|7.65102281417
0.032|150|0.01|547|1e-05|1500000|100|0.35|12.5151228094
0.032|150|0.01|548|1e-05|1500000|100|0.35|12.5359252998
0.032|150|0.01|631|1e-05|1500000|100|0.35|14.4261203815
0.032|150|0.01|449|1e-05|1500000|100|0.35|10.2810871261
0.032|150|0.01|90|1e-05|1500000|100|0.35|2.07844404595
0.032|150|0.01|202|1e-05|1500000|100|0.35|4.6192963799
0.032|150|0.01|648|1e-05|1500000|100|0.35|14.8290519142
0.032|150|0.01|420|1e-05|1500000|100|0.35|9.60604361389
0.032|150|0.01|86|1e-05|1500000|100|0.35|1.97399041203
0.032|150|0.01|198|1e-05|1500000|100|0.35|4.5434100461
0.032|150|0.01|61|1e-05|1500000|100|0.35|1.40237771789
0.032|150|0.01|358|1e-05|1500000|100|0.35|8.18479778339
0.032|150|0.01|55|1e-05|1500000|100|0.35|1.27790771373
0.032|150|0.01|79|1e-05|1500000|100|0.35|1.82843567238
0.032|150|0.01|623|1e-05|1500000|100|0.35|14.2496972571
0.032|150|0.01|570|1e-05|1500000|100|0.35|13.0397429711
0.032|150|0.01|590|1e-05|1500000|100|0.35|13.507252585
0.032|150|0.01|421|1e-05|1500000|100|0.35|9.6351822028
0.032|150|0.01|433|1e-05|1500000|100|0.35|9.9071709333
0.032|150|0.01|174|1e-05|1500000|100|0.35|3.99630401038
0.032|150|0.01|226|1e-05|1500000|100|0.35|5.17716781741
0.032|150|0.01|406|1e-05|1500000|100|0.35|9.29394145769
0.032|150|0.01|317|1e-05|1500000|100|0.35|7.26020595884
0.032|150|0.01|560|1e-05|1500000|100|0.35|12.8014686965
0.032|150|0.01|450|1e-05|1500000|100|0.35|10.305199598
0.032|150|0.01|146|1e-05|1500000|100|0.35|3.34189154892
0.032|150|0.01|109|1e-05|1500000|100|0.35|2.50855455632
0.032|150|0.01|59|1e-05|1500000|100|0.35|1.36267265541
0.032|150|0.01|59|1e-05|1500000|100|0.35|1.3693705093
0.032|150|0.01|417|1e-05|1500000|100|0.35|9.53607950671
0.032|150|0.01|61|1e-05|1500000|100|0.35|1.40446680168
0.032|150|0.01|167|1e-05|1500000|100|0.35|3.81743639808
0.032|150|0.01|346|1e-05|1500000|100|0.35|7.90916729313
0.032|150|0.01|406|1e-05|1500000|100|0.35|9.28172688444
0.032|150|0.01|627|1e-05|1500000|100|0.35|14.3391245773
0.032|150|0.01|327|1e-05|1500000|100|0.35|7.49405188127
0.032|150|0.01|374|1e-05|1500000|100|0.35|8.56529187555
0.032|150|0.01|483|1e-05|1500000|100|0.35|11.0434270298
0.032|150|0.01|559|1e-05|1500000|100|0.35|12.7801884186
