stall_force|mt_speed|cl_diff|viscosity|cl_number|mt_number|time_step|nb_steps|nb_frames
6|0.05|0.0001|1|337|60|1e-05|4000000|100
6|0.05|0.0001|1|337|120|1e-05|4000000|100
6|0.05|0.0001|1|337|240|1e-05|4000000|100
6|0.05|0.0001|1|312|60|1e-05|4000000|100
6|0.05|0.0001|1|312|120|1e-05|4000000|100
6|0.05|0.0001|1|312|240|1e-05|4000000|100
6|0.05|0.0001|1|26|60|1e-05|4000000|100
6|0.05|0.0001|1|26|120|1e-05|4000000|100
6|0.05|0.0001|1|26|240|1e-05|4000000|100
6|0.05|0.0001|1|67|60|1e-05|4000000|100
6|0.05|0.0001|1|67|120|1e-05|4000000|100
6|0.05|0.0001|1|67|240|1e-05|4000000|100
6|0.05|0.0001|1|119|60|1e-05|4000000|100
6|0.05|0.0001|1|119|120|1e-05|4000000|100
6|0.05|0.0001|1|119|240|1e-05|4000000|100
6|0.05|0.0001|1|205|60|1e-05|4000000|100
6|0.05|0.0001|1|205|120|1e-05|4000000|100
6|0.05|0.0001|1|205|240|1e-05|4000000|100
6|0.05|0.0001|1|15|60|1e-05|4000000|100
6|0.05|0.0001|1|15|120|1e-05|4000000|100
6|0.05|0.0001|1|15|240|1e-05|4000000|100
6|0.05|0.0001|1|167|60|1e-05|4000000|100
6|0.05|0.0001|1|167|120|1e-05|4000000|100
6|0.05|0.0001|1|167|240|1e-05|4000000|100
6|0.05|0.0001|1|23|60|1e-05|4000000|100
6|0.05|0.0001|1|23|120|1e-05|4000000|100
6|0.05|0.0001|1|23|240|1e-05|4000000|100
6|0.05|0.0001|1|181|60|1e-05|4000000|100
6|0.05|0.0001|1|181|120|1e-05|4000000|100
6|0.05|0.0001|1|181|240|1e-05|4000000|100
6|0.05|0.0001|1|30|60|1e-05|4000000|100
6|0.05|0.0001|1|30|120|1e-05|4000000|100
6|0.05|0.0001|1|30|240|1e-05|4000000|100
6|0.05|0.0001|1|323|60|1e-05|4000000|100
6|0.05|0.0001|1|323|120|1e-05|4000000|100
6|0.05|0.0001|1|323|240|1e-05|4000000|100
6|0.05|0.0001|1|360|60|1e-05|4000000|100
6|0.05|0.0001|1|360|120|1e-05|4000000|100
6|0.05|0.0001|1|360|240|1e-05|4000000|100
6|0.05|0.0001|1|290|60|1e-05|4000000|100
6|0.05|0.0001|1|290|120|1e-05|4000000|100
6|0.05|0.0001|1|290|240|1e-05|4000000|100
6|0.05|0.0001|1|285|60|1e-05|4000000|100
6|0.05|0.0001|1|285|120|1e-05|4000000|100
6|0.05|0.0001|1|285|240|1e-05|4000000|100
6|0.05|0.0001|1|370|60|1e-05|4000000|100
6|0.05|0.0001|1|370|120|1e-05|4000000|100
6|0.05|0.0001|1|370|240|1e-05|4000000|100
6|0.05|0.0001|1|12|60|1e-05|4000000|100
6|0.05|0.0001|1|12|120|1e-05|4000000|100
6|0.05|0.0001|1|12|240|1e-05|4000000|100
6|0.05|0.0001|1|121|60|1e-05|4000000|100
6|0.05|0.0001|1|121|120|1e-05|4000000|100
6|0.05|0.0001|1|121|240|1e-05|4000000|100
6|0.05|0.0001|1|7|60|1e-05|4000000|100
6|0.05|0.0001|1|7|120|1e-05|4000000|100
6|0.05|0.0001|1|7|240|1e-05|4000000|100
6|0.05|0.0001|1|15|60|1e-05|4000000|100
6|0.05|0.0001|1|15|120|1e-05|4000000|100
6|0.05|0.0001|1|15|240|1e-05|4000000|100
6|0.05|0.0001|1|203|60|1e-05|4000000|100
6|0.05|0.0001|1|203|120|1e-05|4000000|100
6|0.05|0.0001|1|203|240|1e-05|4000000|100
6|0.05|0.0001|1|372|60|1e-05|4000000|100
6|0.05|0.0001|1|372|120|1e-05|4000000|100
6|0.05|0.0001|1|372|240|1e-05|4000000|100
6|0.05|0.0001|1|98|60|1e-05|4000000|100
6|0.05|0.0001|1|98|120|1e-05|4000000|100
6|0.05|0.0001|1|98|240|1e-05|4000000|100
6|0.05|0.0001|1|220|60|1e-05|4000000|100
6|0.05|0.0001|1|220|120|1e-05|4000000|100
6|0.05|0.0001|1|220|240|1e-05|4000000|100
6|0.05|0.0001|1|125|60|1e-05|4000000|100
6|0.05|0.0001|1|125|120|1e-05|4000000|100
6|0.05|0.0001|1|125|240|1e-05|4000000|100
6|0.05|0.0001|1|181|60|1e-05|4000000|100
6|0.05|0.0001|1|181|120|1e-05|4000000|100
6|0.05|0.0001|1|181|240|1e-05|4000000|100
6|0.05|0.0001|1|321|60|1e-05|4000000|100
6|0.05|0.0001|1|321|120|1e-05|4000000|100
6|0.05|0.0001|1|321|240|1e-05|4000000|100
6|0.05|0.0001|1|78|60|1e-05|4000000|100
6|0.05|0.0001|1|78|120|1e-05|4000000|100
6|0.05|0.0001|1|78|240|1e-05|4000000|100
6|0.05|0.0001|1|170|60|1e-05|4000000|100
6|0.05|0.0001|1|170|120|1e-05|4000000|100
6|0.05|0.0001|1|170|240|1e-05|4000000|100
6|0.05|0.0001|1|160|60|1e-05|4000000|100
6|0.05|0.0001|1|160|120|1e-05|4000000|100
6|0.05|0.0001|1|160|240|1e-05|4000000|100
