stall_force|mt_speed|cl_diff|viscosity|cl_number|mt_number|time_step|nb_steps|nb_frames
6|0.05|0.0001|1|279|60|1e-05|4000000|100
6|0.05|0.0001|1|279|120|1e-05|4000000|100
6|0.05|0.0001|1|279|240|1e-05|4000000|100
6|0.05|0.0001|1|46|60|1e-05|4000000|100
6|0.05|0.0001|1|46|120|1e-05|4000000|100
6|0.05|0.0001|1|46|240|1e-05|4000000|100
6|0.05|0.0001|1|23|60|1e-05|4000000|100
6|0.05|0.0001|1|23|120|1e-05|4000000|100
6|0.05|0.0001|1|23|240|1e-05|4000000|100
6|0.05|0.0001|1|221|60|1e-05|4000000|100
6|0.05|0.0001|1|221|120|1e-05|4000000|100
6|0.05|0.0001|1|221|240|1e-05|4000000|100
6|0.05|0.0001|1|146|60|1e-05|4000000|100
6|0.05|0.0001|1|146|120|1e-05|4000000|100
6|0.05|0.0001|1|146|240|1e-05|4000000|100
6|0.05|0.0001|1|258|60|1e-05|4000000|100
6|0.05|0.0001|1|258|120|1e-05|4000000|100
6|0.05|0.0001|1|258|240|1e-05|4000000|100
6|0.05|0.0001|1|53|60|1e-05|4000000|100
6|0.05|0.0001|1|53|120|1e-05|4000000|100
6|0.05|0.0001|1|53|240|1e-05|4000000|100
6|0.05|0.0001|1|266|60|1e-05|4000000|100
6|0.05|0.0001|1|266|120|1e-05|4000000|100
6|0.05|0.0001|1|266|240|1e-05|4000000|100
6|0.05|0.0001|1|301|60|1e-05|4000000|100
6|0.05|0.0001|1|301|120|1e-05|4000000|100
6|0.05|0.0001|1|301|240|1e-05|4000000|100
6|0.05|0.0001|1|86|60|1e-05|4000000|100
6|0.05|0.0001|1|86|120|1e-05|4000000|100
6|0.05|0.0001|1|86|240|1e-05|4000000|100
6|0.05|0.0001|1|359|60|1e-05|4000000|100
6|0.05|0.0001|1|359|120|1e-05|4000000|100
6|0.05|0.0001|1|359|240|1e-05|4000000|100
6|0.05|0.0001|1|5|60|1e-05|4000000|100
6|0.05|0.0001|1|5|120|1e-05|4000000|100
6|0.05|0.0001|1|5|240|1e-05|4000000|100
6|0.05|0.0001|1|318|60|1e-05|4000000|100
6|0.05|0.0001|1|318|120|1e-05|4000000|100
6|0.05|0.0001|1|318|240|1e-05|4000000|100
6|0.05|0.0001|1|267|60|1e-05|4000000|100
6|0.05|0.0001|1|267|120|1e-05|4000000|100
6|0.05|0.0001|1|267|240|1e-05|4000000|100
6|0.05|0.0001|1|34|60|1e-05|4000000|100
6|0.05|0.0001|1|34|120|1e-05|4000000|100
6|0.05|0.0001|1|34|240|1e-05|4000000|100
6|0.05|0.0001|1|14|60|1e-05|4000000|100
6|0.05|0.0001|1|14|120|1e-05|4000000|100
6|0.05|0.0001|1|14|240|1e-05|4000000|100
6|0.05|0.0001|1|127|60|1e-05|4000000|100
6|0.05|0.0001|1|127|120|1e-05|4000000|100
6|0.05|0.0001|1|127|240|1e-05|4000000|100
6|0.05|0.0001|1|368|60|1e-05|4000000|100
6|0.05|0.0001|1|368|120|1e-05|4000000|100
6|0.05|0.0001|1|368|240|1e-05|4000000|100
6|0.05|0.0001|1|158|60|1e-05|4000000|100
6|0.05|0.0001|1|158|120|1e-05|4000000|100
6|0.05|0.0001|1|158|240|1e-05|4000000|100
6|0.05|0.0001|1|24|60|1e-05|4000000|100
6|0.05|0.0001|1|24|120|1e-05|4000000|100
6|0.05|0.0001|1|24|240|1e-05|4000000|100
