speed speed2
-5.345894589458890026e-03 -9.461704681873097517e-03
2.237503750374937161e-03 1.579511804721576724e-03
-1.491349134913175949e-04 -1.658903561424950350e-03
-1.106750675067619521e-03 -1.650260104042312274e-03
9.560956095724453834e-06 4.033613445314251613e-05
-2.840284028206961721e-06 -8.111364752224246040e-16
4.596459645964112717e-04 -3.652661064434463921e-04
1.455257525752578183e-02 6.988075230091829113e-03
-3.112311231106444024e-05 -8.419367747179266621e-05
1.447864786478635134e-03 1.665946378551739831e-03
1.680253225322534891e-02 -1.309387755102041362e-02
-4.480448044502548585e-06 -7.426970788329561755e-05
8.737273727370658541e-04 2.403521408562505051e-03
7.039903990398339861e-04 -5.314125650283719099e-05
-1.932193219286926282e-05 3.201280512203982928e-05
9.455345534552561703e-04 -4.785914365750820200e-04
1.131033103310408227e-03 3.521408562922486434e-06
1.440144014617523844e-06 6.082432973110153901e-05
3.547074707470920275e-03 3.548299319727846179e-03
9.484948494837103737e-05 -1.151820728291227036e-03
-5.740174017400954173e-04 -1.707883153261725460e-03
-3.436343634345866214e-05 -1.146058423371266224e-04
2.012201220122977546e-04 8.259303721484485611e-04
5.064506450677854740e-05 2.935574229688680549e-04
-1.106866686668676533e-02 1.020888355342017273e-03
2.925532553255348438e-03 -7.396718687474953743e-03
3.896389638963597413e-04 -1.118527410964563831e-03
-2.772277227746104941e-05 9.603841536540970133e-05
-1.760176017331457366e-06 2.785114045606750709e-05
1.136113611397699277e-05 -1.050020008006705602e-04
3.144274427442801927e-03 6.915726290515828052e-03
-7.145114511451463365e-04 -1.466186474589982296e-03
-6.885888588858583370e-04 -1.646738695478521149e-03
-3.392339233929404216e-05 -5.314125650270357662e-05
2.152215221578320938e-05 1.952781112412516664e-05
-1.772177217746060939e-05 4.001600640228346589e-05
-3.136313631351519461e-05 -5.122048819504577104e-06
-1.513551355135437900e-03 -1.513885554222521145e-03
3.351612761276125813e-02 4.212632252901155061e-02
5.005100510050992935e-03 6.527090836334552976e-03
2.564256425656764068e-05 1.920768306969197025e-06
-2.385598559855884367e-03 -4.295158063225492859e-03
-6.288228822883016808e-04 5.122048819414658119e-05
-2.596259625979421062e-05 7.555022008749122083e-05
-1.544154415474250248e-05 6.722689075283205778e-06
3.124312431265731453e-05 1.085234093630707759e-04
3.330473447344733939e-02 4.648480192076828027e-02
-2.833323332333198726e-03 -4.505482192877482105e-03
8.417241724171751214e-04 2.332132853141133909e-03
8.612221222122204076e-03 -2.425930372149174077e-03
4.936053605360475431e-03 4.337094837934887814e-03
2.260626062606318955e-03 7.079951980791979009e-03
4.080408040693223072e-06 4.481792716806564530e-06
1.488148814897145737e-05 8.675470187996921429e-05
-1.385418541854130598e-03 -2.203761504602415669e-03
-5.833983398339966965e-03 5.916606642657141514e-03
-1.021358135813590223e-02 -1.965970388155273071e-02
-2.172217221722291727e-03 -9.735094037620716347e-04
-7.493549354931823038e-04 1.094837935167062366e-04
3.843588358835864881e-03 5.321232492997088857e-03
-6.634263426343845697e-04 -7.913565426175179791e-04
4.216421642162024438e-04 1.414645858342045192e-03
5.708570857079254841e-05 1.306122448977487026e-04
3.540674067406746148e-03 1.115934373749496826e-02
3.648364836503041608e-05 2.657062825034464242e-05
1.015597559755982739e-02 1.047458983593216450e-03
-4.628462846276234653e-05 -8.451380552262663750e-05
-7.880788078237597140e-06 9.411764705798232936e-05
-2.800280024050370786e-07 -7.555022008808007813e-05
3.535833583358323831e-03 1.355422168867012177e-03
7.600760076318490264e-07 6.274509803941811939e-05
1.188598859885981775e-03 1.084933173269304364e-02
1.979277927792662782e-03 2.572228891556318110e-03
1.833135313531345650e-02 1.802064825930351985e-02
-1.130673067306545111e-03 -4.283953581432637346e-03
1.602416241624171275e-02 2.360176070428163242e-02
1.187918791879144335e-03 3.352060824329520031e-03
-2.748194819481956496e-03 1.277310924367125683e-04
-5.506550655066629659e-04 -1.580152060824895500e-03
2.469097309730973119e-02 1.147092436974782997e-02
-1.058033803380343564e-02 -1.196126450580240787e-02
1.380738073807436135e-03 -4.134453781512813404e-03
2.136213621308760943e-05 1.126850740298851233e-04
6.677347734773572858e-03 9.885874349739724384e-03
-4.698789878987945888e-03 -8.035214085632889610e-04
-2.216221622164346006e-05 1.184473789512010389e-04
2.012201220114250599e-05 1.293317326934462512e-04
1.203604360436043644e-02 9.039775910364188441e-03
1.448240024002400012e-02 2.815279711884747030e-02
2.839163916391793628e-03 1.169107643057378356e-03
4.810481048102494884e-04 1.475790316126336090e-03
-4.969256925692537401e-03 -1.101752701080449363e-02
-7.098709870982871468e-04 -1.456902761103892737e-03
4.756475647551307035e-05 5.410164065562572048e-05
7.613561356135916790e-04 -1.142857142857632352e-04
6.200620062013599655e-06 7.202881152469216785e-05
5.133837383738407839e-03 -8.113805522208899362e-03
4.560456045633776635e-06 1.728691476670949430e-05
-5.188518851853434236e-05 -3.841536616064931250e-06
-1.429262926292409683e-03 -4.276910764307560470e-04
6.836283628361492903e-04 1.469707883152659078e-03
-4.900890089006629518e-04 -2.606802721088284647e-03
-4.968096809678333031e-04 -1.556142456982844736e-03
-1.506470647064761352e-03 -1.000080032012971897e-03
6.336233623363658144e-04 1.616966786714586551e-03
1.646323032303229073e-02 9.909243697478779464e-04
5.440544054656064049e-06 2.881152460900210233e-05
2.363276327633142496e-03 2.985194077631078257e-03
-7.278327832783318234e-04 -5.122048819601281161e-05
3.366173017301728881e-02 1.531665466186472695e-02
2.015045504550479986e-03 -3.319375750300406717e-03
5.868586858706111308e-05 -1.056422569058609367e-05
8.219221922192543979e-04 -1.088435374151479747e-04
4.069086908690779276e-03 5.833373349339257379e-03
1.648964896489453469e-04 -4.270508203287938249e-04
-1.745774577457653810e-03 -4.056662665065827005e-03
5.136513651363790509e-05 1.306122448972517856e-04
1.851385138512165972e-04 6.447378951575986981e-04
2.882981098109812373e-02 8.455731092436981344e-02
1.070989098909894480e-02 4.279183673469227206e-03
-1.832543254325172096e-03 -2.758863545418262057e-03
6.430243024302209100e-04 1.030812324917129317e-04
-1.960196019637056562e-05 -8.643457383028596097e-05
8.250745074507384938e-03 1.348827531012394831e-02
-1.232123212308074218e-05 1.888755502243071532e-05
2.030723072307230419e-03 1.713965586234577395e-03
2.942134213421312202e-03 -4.155262104844304415e-04
1.660166016623350362e-05 3.425370148002888871e-05
-1.458025802580268033e-03 -1.085234093640959839e-04
5.852585258536593358e-05 2.496038415365507950e-03
5.663886388638903098e-03 -4.219287715088762243e-04
1.056505650565143541e-03 3.178871548618784622e-04
3.089908990898000414e-04 -1.034013605441798064e-04
8.608460846084871722e-04 -1.204705882352971082e-02
