cl_diff|stiffness|viscosity|cl_number|time_step|nb_steps|nb_frames|occup|overlap_length
0.05|300|0.01|43|1e-05|1500000|100|0.1|3.5033006086
0.05|300|0.01|87|1e-05|1500000|100|0.1|6.96595812837
0.05|300|0.01|65|1e-05|1500000|100|0.1|5.2014698478
0.05|300|0.01|106|1e-05|1500000|100|0.1|8.55840240231
0.05|300|0.01|186|1e-05|1500000|100|0.1|14.9442717462
0.05|300|0.01|130|1e-05|1500000|100|0.1|10.4456510593
0.05|300|0.01|121|1e-05|1500000|100|0.1|9.75587372535
0.05|300|0.01|40|1e-05|1500000|100|0.1|3.226257178
0.05|300|0.01|168|1e-05|1500000|100|0.1|13.4596208357
0.05|300|0.01|79|1e-05|1500000|100|0.1|6.38456545729
0.05|300|0.01|19|1e-05|1500000|100|0.1|1.55095468213
0.05|300|0.01|107|1e-05|1500000|100|0.1|8.5884624261
0.05|300|0.01|90|1e-05|1500000|100|0.1|7.21868547587
0.05|300|0.01|136|1e-05|1500000|100|0.1|10.9317744132
0.05|300|0.01|134|1e-05|1500000|100|0.1|10.7562103304
0.05|300|0.01|83|1e-05|1500000|100|0.1|6.65577516781
0.05|300|0.01|110|1e-05|1500000|100|0.1|8.81606378653
0.05|300|0.01|126|1e-05|1500000|100|0.1|10.1473944416
0.05|300|0.01|86|1e-05|1500000|100|0.1|6.9491870762
0.05|300|0.01|109|1e-05|1500000|100|0.1|8.73611472357
0.05|300|0.01|127|1e-05|1500000|100|0.1|10.2241599585
0.05|300|0.01|181|1e-05|1500000|100|0.1|14.5116249794
0.05|300|0.01|146|1e-05|1500000|100|0.1|11.7445666025
0.05|300|0.01|100|1e-05|1500000|100|0.1|8.06298244377
0.05|300|0.01|38|1e-05|1500000|100|0.1|3.10119757089
0.05|300|0.01|10|1e-05|1500000|100|0.1|0.812188320262
0.05|300|0.01|93|1e-05|1500000|100|0.1|7.4685135158
0.05|300|0.01|166|1e-05|1500000|100|0.1|13.3100614033
0.05|300|0.01|140|1e-05|1500000|100|0.1|11.2529352489
0.05|300|0.01|149|1e-05|1500000|100|0.1|11.9217624521
0.05|300|0.01|67|1e-05|1500000|100|0.1|5.42832207782
0.05|300|0.01|137|1e-05|1500000|100|0.1|11.0247571695
0.05|300|0.01|138|1e-05|1500000|100|0.1|11.04728139
0.05|300|0.01|163|1e-05|1500000|100|0.1|13.096244082
0.05|300|0.01|187|1e-05|1500000|100|0.1|14.995987167
0.05|300|0.01|137|1e-05|1500000|100|0.1|11.0082163213
0.05|300|0.01|183|1e-05|1500000|100|0.1|14.6794715791
0.05|300|0.01|69|1e-05|1500000|100|0.1|5.53036889449
0.05|300|0.01|20|1e-05|1500000|100|0.1|1.65353157758
0.05|300|0.01|32|1e-05|1500000|100|0.1|2.63071703236
0.05|300|0.01|124|1e-05|1500000|100|0.1|9.9843674025
