stall_force|mt_speed|mt_diff|cl_diff|viscosity|mt_number|cl_number|fiber_length|time_step|nb_steps|nb_frames
6|0.2|0.1|0.1|0.1|100|90|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|121|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|251|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|296|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|174|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|51|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|7|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|8|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|95|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|141|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|265|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|48|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|41|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|22|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|121|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|22|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|151|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|135|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|219|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|215|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|278|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|14|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|162|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|271|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|256|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|273|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|216|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|240|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|49|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|100|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|143|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|203|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|41|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|283|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|136|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|81|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|143|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|94|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|120|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|4|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|287|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|24|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|127|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|66|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|219|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|170|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|18|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|168|3.0|0.0001|100000|100
