speed speed2
1.213561356135620106e-02 1.011780712284913140e-02
5.163716371640789376e-04 1.760704281616717935e-05
8.125612561258803261e-04 1.180632252899954703e-03
2.412521252125220811e-03 2.448979591834646937e-04
1.523592359236034845e-03 6.818727490909642593e-05
-9.422942294228920214e-04 -2.438415366145995668e-03
1.207332733273319865e-02 1.463849539815914765e-02
2.792479247924983549e-03 2.916366546618575587e-03
5.403740374037540716e-04 7.426970788293356179e-05
3.047900790079008729e-02 3.012830732292915911e-02
7.125152515251489092e-03 4.763505402160669693e-03
1.451785178517689704e-03 2.090436174469573541e-03
-1.264966496649694858e-03 -1.290436174469922074e-03
2.166776677668056685e-03 1.601280512204739841e-03
-1.382938293829510858e-03 2.304921968732003134e-05
1.456425642564168231e-03 -2.388155262106765370e-04
2.804157615761575933e-02 3.551222088835529617e-02
7.171917191722462217e-04 1.040096038414804009e-03
1.179917991799436577e-03 2.818087234893566773e-03
-6.520652065288766409e-06 2.625050020004953316e-05
-2.248224822498741521e-05 9.283713485296874975e-05
2.151375137513515407e-03 2.635294117646833946e-03
8.397719771977148542e-03 7.592797118847287134e-03
6.378157815781764807e-03 4.270508203281361478e-03
1.916811281128113012e-02 2.230319327731091275e-02
-7.546354635458808529e-04 -5.611844737898315314e-04
-1.060106010601191770e-05 -3.681472589017219986e-05
3.889828982898288923e-03 2.455382152860566096e-03
2.279867986798475056e-03 4.897959183680367914e-05
8.705510551055107432e-03 8.807042817126785675e-03
9.456505650565076235e-03 1.114685874349730273e-02
2.610863086308630107e-02 2.526617046818724344e-02
1.317091709171294440e-03 2.997038815525520858e-03
1.354735473547167982e-03 1.640976390555693842e-03
3.937193719374981640e-04 1.559343737493956456e-03
7.125112511251258628e-03 6.674669867947011399e-03
4.120212021201865617e-03 6.255622248899464152e-03
1.032039203920390169e-02 1.175958383353309031e-02
1.838698669866990071e-02 1.745581432573024838e-02
1.554315431543193014e-03 5.746298519404235928e-04
2.427482748275019975e-03 2.812645058023034196e-03
4.539253925392585515e-03 6.810404161664585301e-03
1.512957295729571924e-02 1.946765906362528387e-02
1.680568056807728620e-04 -6.197679071634598202e-04
1.126392639263877225e-03 1.085874349739659019e-03
3.235203520352048639e-03 4.259303721487910088e-03
2.379237923792494949e-03 2.411524609843678554e-03
1.778085408540860252e-02 2.449859943977580889e-02
3.543834383438358368e-03 4.445298119248088271e-03
2.054565456545421210e-03 4.725730292115594769e-03
5.899429942994268046e-03 2.444817927170310750e-03
1.248324832482968286e-03 3.188155262104445595e-03
4.714471447147420354e-04 1.402480992396922671e-03
9.666126612661292070e-03 7.434013605441817073e-03
1.643804380438035036e-03 6.752460984393580598e-03
3.478827882788542662e-03 5.346138455382053525e-03
4.423642364236288031e-03 3.588315326130472362e-03
1.580079607960799271e-02 1.943218887555023949e-02
1.475187518752016369e-03 1.772228891555757430e-03
6.819241924192606316e-03 5.195358143256698785e-03
6.907490749078217494e-04 1.428411364545580228e-03
1.715665566556652880e-02 1.208124849939974828e-02
1.051462346234623840e-02 1.146458583433370391e-02
1.150515051505078155e-03 3.299239695878587644e-03
9.604480448044804691e-03 1.162769107643044607e-02
2.217421742174795598e-04 1.511324529810670250e-03
-8.081208120807650006e-04 -7.939175670290394941e-05
8.560136013601369470e-03 8.599279711884641117e-03
5.457345734568688810e-04 1.054821928771503122e-03
-2.528252825311231707e-05 -3.489395758454694809e-05
3.695569556956777033e-04 9.251700680260034843e-05
1.196759675967749370e-03 5.724529811924347102e-03
7.590719071907198190e-03 4.668427370947984302e-03
5.660566056605782249e-04 1.600320128050929580e-03
3.720532053205534949e-03 6.161184473789534620e-03
5.543354335433419225e-03 4.954941976790514825e-03
3.272461246124611783e-02 3.216854741896760239e-02
4.366556655665364620e-03 6.741576630652276921e-03
2.188378837883932747e-03 1.306442577030351559e-03
3.195119511951629156e-04 -1.428091236494784299e-03
2.636423642364246148e-03 1.887795118046823673e-03
1.795459545954944782e-03 1.133573429371196066e-03
5.720932093209583034e-03 4.670028011204053857e-03
-5.983798379837208369e-04 1.048739495797771032e-03
