cl_diff|stiffness|viscosity|cl_number|time_step|nb_steps|nb_frames|occup|overlap_length
0.027|75|0.01|149|1e-05|1500000|100|0.65|1.83768645204
0.027|75|0.01|1019|1e-05|1500000|100|0.65|12.5439822837
0.027|75|0.01|906|1e-05|1500000|100|0.65|11.1570983808
0.027|75|0.01|609|1e-05|1500000|100|0.65|7.49914026661
0.027|75|0.01|886|1e-05|1500000|100|0.65|10.9145614198
0.027|75|0.01|1141|1e-05|1500000|100|0.65|14.0538434333
0.027|75|0.01|348|1e-05|1500000|100|0.65|4.28860796245
0.027|75|0.01|554|1e-05|1500000|100|0.65|6.82109960487
0.027|75|0.01|921|1e-05|1500000|100|0.65|11.3368980956
0.027|75|0.01|56|1e-05|1500000|100|0.65|0.689494844982
0.027|75|0.01|233|1e-05|1500000|100|0.65|2.8726265381
0.027|75|0.01|711|1e-05|1500000|100|0.65|8.76229096074
0.027|75|0.01|793|1e-05|1500000|100|0.65|9.77069805124
0.027|75|0.01|717|1e-05|1500000|100|0.65|8.83147567311
0.027|75|0.01|681|1e-05|1500000|100|0.65|8.38286104215
0.027|75|0.01|708|1e-05|1500000|100|0.65|8.71388729091
0.027|75|0.01|53|1e-05|1500000|100|0.65|0.661426562811
0.027|75|0.01|1055|1e-05|1500000|100|0.65|12.9946034797
0.027|75|0.01|917|1e-05|1500000|100|0.65|11.2928962628
0.027|75|0.01|1100|1e-05|1500000|100|0.65|13.5453289804
0.027|75|0.01|957|1e-05|1500000|100|0.65|11.7842589798
0.027|75|0.01|544|1e-05|1500000|100|0.65|6.70364941319
0.027|75|0.01|192|1e-05|1500000|100|0.65|2.36711804491
0.027|75|0.01|418|1e-05|1500000|100|0.65|5.14686535396
0.027|75|0.01|108|1e-05|1500000|100|0.65|1.33503902647
0.027|75|0.01|1177|1e-05|1500000|100|0.65|14.487091884
0.027|75|0.01|1212|1e-05|1500000|100|0.65|14.924361647
0.027|75|0.01|584|1e-05|1500000|100|0.65|7.1981662954
0.027|75|0.01|663|1e-05|1500000|100|0.65|8.16415346719
0.027|75|0.01|225|1e-05|1500000|100|0.65|2.77142837737
0.027|75|0.01|188|1e-05|1500000|100|0.65|2.32282222776
0.027|75|0.01|81|1e-05|1500000|100|0.65|0.997558793657
0.027|75|0.01|1106|1e-05|1500000|100|0.65|13.6151534553
0.027|75|0.01|551|1e-05|1500000|100|0.65|6.79132406534
0.027|75|0.01|997|1e-05|1500000|100|0.65|12.278566136
0.027|75|0.01|336|1e-05|1500000|100|0.65|4.14627101798
