stall_force|mt_speed|mt_binding|mt_unbinding|cl_binding|cl_unbinding|cl_stiffness|time_step|viscosity|cl_number|mt_number|nb_steps|nb_frames
6|0.05|0.01|0.01|1|2.38|100|1e-05||272|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||272|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||272|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||351|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||351|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||351|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||367|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||367|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||367|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||136|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||136|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||136|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||139|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||139|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||139|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||99|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||99|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||99|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||186|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||186|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||186|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||296|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||296|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||296|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||193|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||193|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||193|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||105|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||105|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||105|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||281|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||281|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||281|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||69|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||69|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||69|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||88|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||88|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||88|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||322|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||322|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||322|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||260|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||260|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||260|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||247|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||247|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||247|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||163|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||163|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||163|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||350|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||350|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||350|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||203|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||203|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||203|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||363|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||363|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||363|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||292|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||292|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||292|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||120|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||120|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||120|90|4000000|100
